firstname;male;female
marie;10145;2390322
jean;1869615;6476
pierre;1475841;5047
jeanne;1765;1097397
françois;1089009;5951
joseph;897742;4246
anne;1479;816241
marguerite;1441;813859
catherine;1223;792448
louis;750498;2720
françoise;1153;600167
jacques;585567;2010
antoine;536089;2067
nicolas;408007;1463
louise;681;360914
claude;324134;4830
charles;276133;972
elisabeth;353;224969
madeleine;424;217939
michel;214487;834
etienne;211297;898
guillaume;197634;792
claudine;280;163711
andré;160970;586
yves;156916;544
henri;151366;504
antoinette;326;150155
julien;149634;644
rené;148231;627
rose;372;139480
rosalie;259;139343
auguste;135314;606
georges;125189;446
joséphine;268;123596
thérèse;252;113825
marianne;223;106821
barbe;291;106041
paul;103157;346
augustin;99532;430
jules;97993;420
mathurin;94431;357
suzanne;151;92817
alexandre;90238;413
julie;183;90323
laurent;89819;320
victor;87061;314
perrine;117;86401
eugène;81779;468
victoire;233;81265
dominique;74438;5470
philippe;75164;2151
gabriel;75918;501
julienne;143;74611
léonard;72695;290
magdeleine;174;71522
sophie;136;69126
henriette;133;67894
martin;66574;288
augustine;203;66590
emile;65749;444
geneviève;105;64747
bernard;62509;206
renée;141;62461
simon;61503;209
eugénie;172;61504
vincent;59500;187
mathieu;58765;238
alexis;55838;770
sébastien;53936;186
angélique;154;52204
maria;248;52008
pierrette;88;51026
maurice;50037;321
léon;49203;173
agathe;101;48495
virginie;80;48268
denis;47962;172
reine;82;47551
francois;46763;221
thomas;46238;169
caroline;64;45064
gabrielle;104;42367
gilbert;42026;118
benoit;41936;165
christine;74;40201
henry;39743;156
hélène;84;39306
alphonse;39177;183
cécile;108;39111
pauline;107;38942
anonyme;26957;11817
alfred;38124;161
christophe;38101;164
albert;36650;144
charlotte;70;36390
victorine;80;35835
marthe;95;35815
philibert;35682;148
claire;65;34793
mathurine;61;34763
lucie;63;34639
félix;33282;237
barthélémy;32646;147
adolphe;31438;132
adélaide;66;31377
edouard;31274;97
adèle;60;30712
marc;29861;130
ernest;29848;130
mélanie;72;29506
silvain;29305;107
justine;74;27991
gustave;27627;101
alain;27508;83
isidore;26059;240
alexandrine;61;25888
léonarde;63;25554
benoite;79;25421
hubert;25326;96
yvonne;54;25245
germain;25084;99
ferdinand;24948;120
élisabeth;50;24945
constant;24813;83
célestine;54;24782
hervé;24730;73
étienne;24581;116
frédéric;24287;120
désiré;23987;213
francoise;94;23947
magdelaine;67;23770
amélie;45;23778
blaise;23197;578
adrien;23635;95
félicité;173;23544
michelle;46;23560
solange;33;23536
lucien;23128;68
raymond;23083;67
mathias;22983;106
camille;15636;7307
baptiste;22599;122
martial;22562;83
toussaint;22482;100
philomène;185;21938
jacquette;49;21965
germaine;58;21740
anna;45;21668
marcel;21580;88
clémence;58;21379
emilie;72;21258
léonie;57;21111
berthe;53;21114
bertrand;20802;62
isabelle;37;20526
olivier;20492;58
joachim;20300;142
benoît;20143;74
agnès;32;19855
véronique;28;19739
ambroise;18952;655
gilles;19475;79
gaspard;19479;68
mathilde;44;19195
lazare;18454;734
clément;19058;96
théodore;18764;351
honoré;18681;98
etiennette;59;18716
clémentine;40;18697
célestin;18589;84
xavier;18566;49
juliette;49;18424
ursule;293;17959
valentin;17528;60
ignace;17223;197
odile;160;17069
edmond;17148;72
constance;82;16993
philiberte;42;17001
noël;16818;113
corentin;16850;58
robert;16770;64
arthur;16686;61
hippolyte;16354;341
elise;53;16589
sylvain;16147;75
josephine;70;16115
théophile;15855;186
jacqueline;28;15805
armand;15492;52
arnaud;15043;45
hortense;56;14970
salomé;49;14886
emmanuel;14398;65
guillemette;18;14351
léontine;27;14161
denise;26;14145
josephte;26;14049
rosine;21;13882
prosper;13836;54
elisa;20;13506
daniel;13464;39
céline;23;13458
marin;13307;64
pétronille;30;13067
benjamin;12991;53
angèle;51;12906
ernestine;25;12894
benoîte;40;12718
léopold;12674;43
florent;12582;79
edmé;12563;66
gaston;12579;47
florentine;52;12511
annette;8;12442
laurence;37;12410
edme;12172;66
brigitte;15;12048
elie;11559;388
hyacinthe;7295;4628
modeste;3430;8477
honorine;25;11866
david;11840;30
aimée;64;11658
gertrude;23;11627
fernand;11539;48
alice;34;11453
jeannette;22;11378
albertine;28;11202
adeline;26;11190
blanche;26;11149
annet;11020;144
jérôme;11104;57
aimé;10990;139
firmin;11030;56
clotilde;24;10976
casimir;10792;48
grégoire;10700;54
émile;10548;70
margueritte;39;10572
appoline;34;10542
urbain;10500;29
delphine;22;10476
julia;33;10436
achille;10371;65
désirée;63;10336
gilberte;30;10284
jacob;10192;45
elizabeth;28;10180
philippine;34;9978
séraphine;23;9818
nicole;16;9691
alphonsine;30;9541
barbara;17;9493
hilaire;9165;331
aline;19;9357
justin;9316;44
didier;9288;29
eve;17;9276
eulalie;31;9206
sidonie;21;9164
célina;29;8993
toinette;27;8983
valentine;52;8933
anastasie;25;8812
vital;8718;46
madelaine;19;8579
stéphanie;29;8415
florence;35;8239
christian;8208;29
flore;57;8092
cyprien;8012;33
dorothée;19;8015
vincente;108;7919
isaac;8000;16
pélagie;22;7938
olive;122;7804
catharina;11;7735
eléonore;173;7445
abraham;7586;24
félicie;38;7572
marius;7528;46
chrétien;7540;22
romain;7526;27
edmée;61;7421
florentin;7445;33
adrienne;18;7375
léger;7338;26
simone;157;6988
pascal;7080;22
guy;7029;26
irma;28;6988
octavie;34;6935
rémy;6928;31
esther;47;6851
stanislas;6848;32
goulven;6739;23
adolphine;14;6735
narcisse;5655;1080
scholastique;78;6657
therese;22;6701
emma;22;6615
zoé;44;6590
hugues;6574;22
monique;12;6565
georgette;24;6544
marien;6515;32
radegonde;13;6499
lambert;6489;20
marcelle;34;6426
martine;20;6415
euphrasie;32;6401
silvine;11;6390
nathalie;16;6315
aimable;5154;1164
allain;6261;17
laure;18;6258
adelaide;18;6173
lazarette;5;6164
prudence;92;6074
samuel;6121;17
gervais;6108;16
adam;6066;27
géraud;6017;24
gérard;5875;21
judith;9;5769
octave;5682;52
sebastien;5701;21
arsène;5046;674
séraphin;5691;29
barthelemy;5641;21
basile;5568;77
amand;5564;22
leonard;5562;19
amédée;5216;319
andre;5507;21
clarisse;12;5492
corentine;16;5480
paule;15;5460
maximilien;5404;14
florine;14;5285
zélie;19;5276
luc;5231;18
jacquine;7;5216
abel;5147;34
sara;11;5161
sylvie;10;5121
amable;3543;1583
emiland;5081;35
marceline;18;5096
charlemagne;5067;17
euphrosine;25;5017
ollivier;4890;19
constantin;4878;24
eugene;4823;51
césar;4847;19
aloise;4536;321
isabeau;16;4827
marcellin;4727;23
rachel;68;4676
aubin;4706;10
magdalena;12;4680
mariette;15;4673
genevieve;9;4678
péronne;10;4670
sylvestre;4543;43
salomon;4528;24
raoul;4515;14
damien;4444;12
bernardine;10;4435
florimond;4391;14
anatole;4364;38
aloyse;4188;209
roger;4372;4
fanny;13;4354
jan;4313;24
angelique;14;4322
clara;5;4310
felix;4215;56
hyppolite;4070;133
antonin;4155;11
moise;4119;24
eugenie;13;4123
céleste;325;3792
maxime;3940;168
estelle;11;4053
régis;4033;12
rémi;4027;13
johannes;4004;17
marcelline;8;3985
léa;13;3969
rosa;43;3937
claudius;3952;21
eustache;3911;47
noel;3888;23
george;3813;93
valérie;46;3859
bonaventure;3365;523
cyrille;3736;143
léocadie;45;3777
césarine;6;3786
estienne;3733;49
eloi;3765;11
richarde;5;3753
andrée;15;3735
janne;15;3735
rolland;3723;18
colombe;18;3721
aurélie;8;3716
bertrande;12;3705
bernarde;7;3703
oscar;3685;13
sabine;6;3646
édouard;3634;10
anselme;3608;30
margaretha;8;3612
