firstname;male;female
A;27;0
AADAM;36;0
AADEL;57;0
AADHIRA;0;30
AADIL;191;0
AAHIL;32;0
AAKASH;29;0
AALEYAH;0;39
AALIA;0;51
AALIYA;0;262
AALIYAH;0;3241
AALYA;0;150
AALYAH;0;267
AAMIR;21;0
AANOR;0;43
AARAN;20;0
AARAV;25;0
AARICIA;0;43
AARISH;21;0
AARON;33998;71
AARONE;183;0
AARONN;124;0
AAROUN;59;0
AARRON;21;0
AARUSH;68;0
AARUSHAN;21;0
AARYA;0;24
AATHIRA;0;27
AATHIRAN;29;0
AAVA;0;22
AAYA;0;52
AAYAN;103;0
AAZIZ;30;0
AB;76;0
AB-DEL;45;0
ABA;24;0
ABABACAR;78;0
ABAKAR;35;0
ABAN;24;0
ABANE;22;0
ABARNA;0;20
ABAS;50;0
ABASS;136;0
ABASSE;122;0
ABASSIA;0;27
ABBA;23;0
ABBAS;293;0
ABBASS;22;0
ABBES;306;0
ABBIE;0;323
ABBIGAELLE;0;57
ABBY;0;2567
ABBY-GAELLE;0;253
ABBYGAEL;0;283
ABBYGAELLE;0;817
ABBYGAIL;0;158
ABD;1632;0
ABD'ALLAH;52;0
ABD-ALLAH;180;0
ABD-AR-RAHMAN;21;0
ABD-EL;480;0
ABD-EL-KADER;51;0
ABD-EL-KRIM;24;0
ABD-EL-RAHMAN;21;0
ABD-RAHIM;20;0
ABD-RAHMAN;42;0
ABD-SAMAD;25;0
ABDALA;75;0
ABDALAH;221;0
ABDALAYE;42;0
ABDALHA;28;0
ABDALLA;90;0
ABDALLAH;6239;0
ABDALRAHMAN;25;0
ABDARAHIM;21;0
ABDARAHMAN;37;0
ABDARAHMANE;38;0
ABDARRAHMAN;49;0
ABDASSAMAD;28;0
ABDE;189;0
ABDEL;4746;0
ABDEL-AKIM;84;0
ABDEL-ALI;106;0
ABDEL-AZIZ;240;0
ABDEL-DJALIL;50;0
ABDEL-GHANI;52;0
ABDEL-HADI;39;0
ABDEL-HAFID;107;0
ABDEL-HAK;30;0
ABDEL-HAKIM;448;0
ABDEL-HALIM;177;0
ABDEL-HAMID;218;0
ABDEL-ILAH;85;0
ABDEL-ILLAH;76;0
ABDEL-JALIL;111;0
ABDEL-KADER;467;0
ABDEL-KARIM;467;0
ABDEL-KRIM;129;0
ABDEL-LATIF;45;0
ABDEL-MADJID;96;0
ABDEL-MAGID;21;0
ABDEL-MAJID;122;0
ABDEL-MALEK;207;0
ABDEL-MALIK;462;0
ABDEL-MOUMEN;25;0
ABDEL-NACER;36;0
ABDEL-NASSER;84;0
ABDEL-NOUR;78;0
ABDEL-RAHIM;101;0
ABDEL-RAHMAN;171;0
ABDEL-RAHMANE;89;0
ABDEL-RAHMEN;36;0
ABDEL-RANI;50;0
ABDEL-RAOUF;48;0
ABDEL-SALEM;34;0
ABDEL-SAMAD;83;0
ABDEL-WAHAB;56;0
ABDEL-WAHEB;30;0
ABDEL-WAHID;41;0
ABDEL-WAKIL;21;0
ABDELA;75;0
ABDELAALI;37;0
ABDELADIM;26;0
ABDELAFID;34;0
ABDELAH;229;0
ABDELAKIM;121;0
ABDELALI;485;0
ABDELALIM;26;0
ABDELAMID;26;0
ABDELATIF;468;0
ABDELAZIZ;2289;0
ABDELAZIZE;120;0
ABDELAZZIZ;45;0
ABDELBAKI;76;0
ABDELBARI;20;0
ABDELBASET;22;0
ABDELBASSET;103;0
ABDELDJALIL;149;0
ABDELDJALLIL;26;0
ABDELFATAH;118;0
ABDELFATTAH;67;0
ABDELFETAH;38;0
ABDELFETTAH;25;0
ABDELGHAFOUR;42;0
ABDELGHANI;545;0
ABDELHA;38;0
ABDELHADI;380;0
ABDELHAFED;25;0
ABDELHAFID;778;0
ABDELHAFIDE;31;0
ABDELHAK;925;0
ABDELHAKE;39;0
ABDELHAKIM;1538;0
ABDELHAKIME;42;0
ABDELHALI;44;0
ABDELHALIM;628;0
ABDELHALIME;40;0
ABDELHAMED;54;0
ABDELHAMID;1125;0
ABDELHAMIDE;21;0
ABDELHAQ;26;0
ABDELHATIF;40;0
ABDELHAY;32;0
ABDELHAZIZ;92;0
