iter	Logloss
0	0.6904252682
1	0.687361451
2	0.6857664124
3	0.6836196459
4	0.6816640105
5	0.6800133368
6	0.6772525096
7	0.6757026773
8	0.6729250848
9	0.6712121302
10	0.6697406127
11	0.6668843325
12	0.6644689338
13	0.6616605519
14	0.6589009787
15	0.6572422731
16	0.6548839375
17	0.6527739613
18	0.6506834487
19	0.6485212497
20	0.6464733327
21	0.6452746731
22	0.6433387911
23	0.6411481893
24	0.6389546956
25	0.6374094655
26	0.6352355432
27	0.6331150288
28	0.6307913546
29	0.6285126672
30	0.626560722
31	0.6252116613
32	0.6225720724
33	0.6207410552
34	0.6184875731
35	0.6162370205
36	0.61507985
37	0.6126120964
38	0.6108024153
39	0.610000466
40	0.6086498613
41	0.6061140058
42	0.6046109865
43	0.603330169
44	0.6014340741
45	0.6002446743
46	0.5981771176
47	0.5967752624
48	0.5953466914
49	0.5932732385
50	0.5914899677
51	0.5898815708
52	0.5880686628
53	0.5860673494
54	0.5832692155
55	0.5819445239
56	0.579996941
57	0.5778702131
58	0.5763758138
59	0.5739347639
60	0.5725544359
61	0.5715984039
62	0.5703639453
63	0.5689219972
64	0.5669794956
65	0.5654311867
66	0.5642953783
67	0.5627901905
68	0.561867443
69	0.5605753138
70	0.5588887229
71	0.5568536913
72	0.5557311497
73	0.5540521343
74	0.5533595772
75	0.55181897
76	0.5506012145
77	0.549509023
78	0.5484490873
79	0.5473828369
80	0.5459348599
81	0.544362867
82	0.5427242605
83	0.5419105478
84	0.5406785489
85	0.5398879331
86	0.5387177244
87	0.5375237101
88	0.5367560733
89	0.5353297651
90	0.5336975354
91	0.5324563409
92	0.5313703082
93	0.5302357703
94	0.5288890787
95	0.5274724759
96	0.5265114073
97	0.5259307965
98	0.5247317959
99	0.5239060245
100	0.5234060046
101	0.5226105213
102	0.5219348239
103	0.5212985735
104	0.5200035197
105	0.5185484159
106	0.5173946052
107	0.516446553
108	0.5158855922
109	0.514638412
110	0.5135782927
111	0.5129960916
112	0.511780186
113	0.5105150366
114	0.509496988
115	0.5084314238
116	0.5072424993
117	0.5059804842
118	0.5045906683
119	0.5033400406
120	0.5024722423
121	0.5013451506
122	0.5004744453
123	0.4999995853
124	0.498668771
125	0.4979136651
126	0.4965595448
127	0.4955693528
128	0.4948484606
129	0.4936944401
130	0.4926970149
131	0.491794717
132	0.4906241737
133	0.4891286162
134	0.4884710686
135	0.4875289207
136	0.4863224804
137	0.485917078
138	0.4851517713
139	0.4845520504
140	0.4836259734
141	0.4829671504
142	0.4819048345
143	0.4808905263
144	0.4803878797
145	0.4794579148
146	0.4786268856
147	0.4777439804
148	0.4770312144
149	0.4761172021
150	0.4751287648
151	0.4739891537
152	0.4735033818
153	0.4726963346
154	0.4718790121
155	0.4710370384
156	0.4701996867
157	0.4694898784
158	0.4685023933
159	0.4673472981
160	0.4665685231
161	0.4660940504
162	0.4650827863
163	0.4644416676
164	0.4636272926
165	0.46274116
166	0.4616814746
167	0.4613359739
168	0.4603354067
169	0.4593446426
170	0.4584674795
171	0.4577591552
172	0.456862514
173	0.4557441737
174	0.4550537444
175	0.4546534016
176	0.453925225
177	0.4533066409
178	0.45276371
179	0.4517716764
180	0.4513128856
181	0.4505505083
182	0.4500700113
183	0.4494894659
184	0.4490276531
185	0.4484439757
186	0.4477931397
187	0.4469736364
188	0.4464611466
189	0.4458813217
190	0.4455514697
191	0.4450371674
192	0.4443219437
193	0.4436432108
194	0.4429230622
195	0.4421867366
196	0.4418749125
197	0.4413126094
198	0.440949993
199	0.4399815781
200	0.4389651569
201	0.4383746365
202	0.4378352736
203	0.4369485527
204	0.4364129671
205	0.4361826248
206	0.435581389
207	0.4350667765
208	0.4343656771
209	0.4331341914
210	0.4325839986
211	0.4322397288
212	0.4313948158
213	0.4301335087
214	0.4295188814
215	0.4291812012
216	0.4289052415
217	0.428121481
218	0.427748296
219	0.4273725823
220	0.426987972
221	0.4266070229
222	0.4259479938
223	0.425386406
224	0.424695368
225	0.424039286
226	0.4229840033
227	0.4223944596
228	0.4215352412
229	0.421128741
230	0.4206373096
231	0.4203514823
232	0.4198715744
233	0.4193400128
234	0.4186638007
235	0.4181842092
236	0.4176540601
237	0.4167986019
238	0.4162442241
239	0.4157718321
240	0.4152963653
241	0.4147972075
242	0.4142184107
243	0.4140008603
244	0.4133979842
245	0.4128480281
246	0.4123242085
247	0.4118297924
248	0.4108808109
249	0.4103281242
250	0.4098601669
251	0.4095929412
252	0.4091610752
253	0.4087878157
254	0.4082738093
255	0.4076989895
256	0.4073561195
257	0.4067491734
258	0.4061371682
259	0.4053486392
260	0.4048394403
261	0.4041986293
262	0.4038449447
263	0.4029582338
264	0.4024792829
265	0.4019188647
266	0.4012503972
267	0.4007515385
268	0.40072484
269	0.4001125462
270	0.3999321685
271	0.3998479676
272	0.3994860136
273	0.3992337097
274	0.3988064566
275	0.3982001181
276	0.39769435
277	0.3973096456
278	0.3969172427
279	0.396236636
280	0.3956045416
281	0.3951956216
282	0.3947888973
283	0.3942295738
284	0.3938402784
285	0.3936505549
286	0.3928867371
287	0.3926729646
288	0.3921591202
289	0.3917311393
290	0.3913386545
291	0.3910292519
292	0.3907203167
293	0.3901371623
294	0.3897033301
295	0.3892318967
296	0.3888348771
297	0.3881447884
298	0.3875771812
299	0.3870753738
300	0.38666648
301	0.3859347054
302	0.3853909388
303	0.3850248208
304	0.384620721
305	0.383955335
306	0.3836393612
307	0.3831080815
308	0.3827552957
309	0.382264216
310	0.3816077095
311	0.3812496005
312	0.3807056097
313	0.3801795467
314	0.3797688948
315	0.3794409517
316	0.3788173936
317	0.3783505255
318	0.3776331713
319	0.3770889033
320	0.3767031611
321	0.3762279602
322	0.3758206507
323	0.3754452625
324	0.3751587919
325	0.3748057978
326	0.3744423426
327	0.3738872218
328	0.3735679079
329	0.3730583588
330	0.3728621326
331	0.3723010421
332	0.3718550691
333	0.3712276526
334	0.3708629351
335	0.3702694737
336	0.3699381168
337	0.3693281294
338	0.36884706
339	0.3683234111
340	0.3682463986
341	0.3679391786
342	0.3677217118
343	0.3671845341
344	0.3667906729
345	0.3664555517
346	0.366162707
347	0.3658777571
348	0.3654694156
349	0.3650651681
350	0.3648439116
351	0.3643696709
352	0.3641273891
353	0.3638705004
354	0.3634572964
355	0.363276684
356	0.36295784
357	0.3626400858
358	0.3622030708
