iter	Passed	Remaining
0	3	3515
1	7	3532
2	10	3406
3	13	3450
4	18	3598
5	21	3509
6	24	3476
7	28	3476
8	31	3420
9	34	3368
10	37	3344
11	40	3303
12	44	3364
13	47	3362
14	51	3403
15	55	3421
16	58	3404
17	62	3393
18	64	3330
19	67	3316
20	70	3303
21	73	3283
22	76	3267
23	79	3243
24	82	3217
25	85	3205
26	88	3200
27	92	3199
28	95	3181
29	98	3185
30	101	3182
31	104	3168
32	107	3145
33	109	3115
34	112	3092
35	114	3073
36	117	3053
37	119	3033
38	122	3011
39	124	2988
40	127	2976
41	129	2959
42	132	2949
43	135	2948
44	138	2934
45	140	2920
46	143	2908
47	146	2897
48	148	2882
49	151	2870
50	153	2856
51	155	2841
52	158	2832
53	161	2824
54	163	2812
55	166	2802
56	168	2793
57	171	2780
58	173	2768
59	175	2754
60	177	2730
61	179	2720
62	182	2709
63	184	2700
64	187	2692
65	189	2684
66	192	2680
67	195	2675
68	198	2672
69	200	2664
70	203	2656
71	205	2651
72	208	2647
73	211	2645
74	213	2638
75	216	2631
76	219	2627
77	221	2621
78	224	2613
79	226	2604
80	228	2594
81	230	2583
82	232	2572
83	235	2562
84	237	2553
85	239	2544
86	242	2540
87	244	2534
88	246	2525
89	248	2517
90	251	2510
91	253	2504
92	255	2495
93	258	2488
94	260	2480
95	262	2470
96	264	2462
97	266	2454
98	268	2445
99	270	2436
100	273	2434
101	276	2431
102	278	2424
103	280	2417
104	282	2410
105	284	2402
106	287	2396
107	289	2389
108	291	2382
109	293	2374
110	295	2366
111	297	2358
112	299	2351
113	301	2344
114	303	2337
115	305	2330
116	307	2323
117	309	2316
118	312	2310
119	314	2303
120	316	2297
121	318	2291
122	320	2285
123	322	2279
124	324	2273
125	327	2268
126	329	2262
127	331	2256
128	333	2251
129	335	2245
130	337	2240
131	339	2234
132	342	2230
133	344	2224
134	346	2218
135	348	2215
136	350	2210
137	353	2206
138	355	2201
139	357	2196
140	359	2191
141	361	2186
142	364	2182
143	366	2177
144	368	2172
145	370	2167
146	372	2162
147	374	2158
148	376	2153
149	379	2148
150	381	2142
151	383	2137
152	385	2132
153	387	2129
154	389	2124
155	391	2120
156	394	2116
157	396	2112
158	398	2108
159	400	2104
160	403	2102
161	405	2097
162	407	2094
163	410	2091
164	412	2088
165	415	2085
166	417	2084
167	420	2082
168	423	2080
169	425	2077
170	427	2073
171	430	2070
172	432	2068
